Gender,Age,Height,Weight,BMR,Calories
1,21,165,82,1585.25,2179.717
0,23,168,71,1650,1980
1,24,157,44,1140.25,1368.302
1,50,165,46,1080.25,1485.339
0,21,180,78,1805,2166
1,28,145,87,1475.25,1770.302
0,18,170,108,2057.5,2829.062
0,23,178,110,2102.5,2523
0,22,165,48,1406.25,1687.502
1,18,165,90,1680.25,2016.302
0,22,163,58,1493.75,2053.908
0,24,178,90,1897.5,2277
0,22,163,48,1393.75,1672.498
1,21,168,85,1634,1960.8
1,21,163,57,1322.75,1587.298
0,20,165,60,1536.25,1843.502
1,24,157,87,1570.25,1884.302
1,37,157,44,1075.25,1290.302
0,22,157,75,1626.25,1951.502
0,34,150,85,1622.5,2230.941
1,21,165,47,1235.25,1482.302
0,27,163,84,1728.75,2377.03
1,19,157,85,1575.25,1890.302
1,26,157,100,1690.25,2028.302
0,21,163,69,1608.75,2212.03
0,31,157,89,1721.25,2065.502
1,34,152,77,1389,1666.8
0,20,160,46,1365,1638
0,21,165,95,1881.25,2257.502
0,35,152,57,1350,1620
1,16,165,93,1720.25,2064.298
0,18,165,77,1716.25,2059.502
0,23,180,77,1785,3079.121
0,22,168,92,1865,2238
0,45,170,96,1802.5,2163
0,18,163,72,1653.75,1984.498
1,18,163,60,1367.75,1880.661
0,22,173,78,1756.25,2414.843
1,28,152,67,1319,1582.8
1,22,155,66,1357.75,1629.298
1,21,168,88,1664,1996.8
1,21,157,45,1165.25,1398.302
0,30,163,80,1673.75,2008.498
1,22,160,80,1529,1834.8
0,20,157,62,1506.25,1807.502
1,23,152,70,1374,1648.8
0,75,180,72,1475,2028.124
1,22,145,99,1625.25,1950.302
1,22,157,55,1260.25,1512.302
1,30,165,99,1710.25,2052.298
1,26,145,54,1155.25,1588.469
1,20,155,48,1187.75,2256.724
1,22,152,79,1469,1762.8
1,28,163,93,1647.75,1977.298
0,21,178,75,1762.5,2423.437
1,20,150,52,1196.5,1435.8
1,40,142,100,1526.5,1831.8
1,24,140,53,1124,1348.8
0,40,170,53,1397.5,1677
0,23,178,87,1872.5,2247
1,49,155,107,1632.75,1959.298
0,19,175,76,1763.75,2116.498
1,24,163,65,1387.75,1665.298
1,22,157,46,1170.25,1404.302
0,30,170,52,1437.5,1725
0,28,155,84,1673.75,2008.498
1,16,165,60,1390.25,1911.596
0,29,170,50,1422.5,1707
0,30,168,107,1975,2370
1,37,155,99,1612.75,1935.298
1,22,157,67,1380.25,1656.302
0,25,170,72,1662.5,2576.876
0,24,168,117,2105,2526
1,23,168,55,1324,2283.902
1,23,163,75,1492.75,1791.298
0,19,168,71,1670,2296.25
0,22,160,67,1565,1878
0,24,160,44,1325,1590
0,21,165,51,1441.25,1729.502
0,24,165,114,2056.25,2467.502
1,41,157,105,1665.25,1998.302
1,35,142,77,1321.5,1585.8
0,25,168,113,2060,2472
0,28,168,48,1395,1674
1,28,163,49,1207.75,1660.655
1,21,155,42,1122.75,1740.265
1,23,142,55,1161.5,2003.582
0,21,180,78,1805,2166
1,51,152,80,1334,1600.8
0,29,152,84,1650,1980
0,50,160,68,1435,1973.127
1,25,160,54,1254,1504.8
1,23,157,89,1595.25,1914.302
1,28,140,72,1294,1552.8
1,24,170,59,1371.5,1645.8
1,21,165,56,1325.25,2054.135
1,22,142,86,1476.5,1771.8
1,22,152,95,1629,1954.8
0,30,170,52,1437.5,1725
1,25,152,66,1324,1588.8
0,24,175,66,1638.75,1966.498
0,18,173,74,1736.25,2083.502
1,45,145,58,1100.25,1320.302
0,22,165,62,1546.25,2126.098
0,22,163,60,1513.75,1816.498
0,21,180,78,1805,3429.505
0,29,168,101,1920,2304
1,23,157,61,1315.25,1578.302
1,44,137,72,1195.25,1434.302
0,23,168,82,1760,2112
1,23,160,43,1154,1384.8
0,53,170,50,1302.5,1563
0,20,165,41,1346.25,1615.502
0,23,168,61,1550,1860
0,22,180,105,2070,2484
0,21,168,65,1600,1920
0,24,168,93,1865,2238
0,35,152,85,1630,1956
0,21,163,67,1588.75,1906.498
0,26,175,63,1598.75,1918.498
1,44,163,45,1087.75,1495.655
1,47,163,68,1302.75,1563.298
1,22,168,51,1289,1772.375
0,22,180,78,1800,2160
1,36,155,40,1027.75,1233.298
0,22,165,70,1626.25,2805.277
0,26,168,61,1535,1842
0,15,160,49,1420,2697.997
0,21,173,80,1781.25,2137.502
1,54,145,72,1195.25,1434.302
0,23,170,75,1702.5,2936.818
0,23,165,69,1611.25,2215.469
1,59,157,53,1055.25,2004.972
0,23,168,72,1660,1992
1,23,163,42,1162.75,1395.298
0,31,157,88,1711.25,2053.502
0,22,183,105,2088.75,2506.498
0,30,173,54,1476.25,1771.502
1,22,173,78,1590.25,1908.302
1,23,157,56,1265.25,1518.302
0,23,175,82,1803.75,3427.13
0,26,157,90,1756.25,2107.502
0,24,170,95,1897.5,3273.182
1,28,175,101,1802.75,2163.298
1,30,168,79,1529,1834.8
0,22,173,118,2156.25,2587.502
0,28,163,99,1873.75,2248.498
1,27,170,68,1446.5,1735.8
0,20,152,85,1705,2046
0,31,152,89,1690,2028
0,21,157,69,1571.25,2160.472
1,44,163,48,1117.75,1341.298
0,23,173,63,1601.25,2201.723
1,24,157,77,1470.25,1764.302
0,30,173,35,1286.25,1543.502
1,21,152,89,1574,1888.8
